C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am
14,7,24,7,9,9,11,21,159,9,10,10,355,35,8,7,9,11,7,8,8,5,5,6,4,4,2,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,7,8,8,11,11,12,13,25,31,143,154,31,12,16,14,15,17,20,37,356,296,321,75,18,20,17,21,21,26,21,25,22,17,17,18,15,15,16,16,12,11,11,8,10,10,11,8,7,8,6,6,6,5,5,6,6,2,4,4,3,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,12,12,14,18,19,18,16,18,18,15,16,15,23,27,33,102,188,139,43,21,13,12,12,11,15,13,14,16,15,16,16,18,39,216
16,7,26,7,9,9,13,22,165,9,8,14,354,37,6,10,7,7,7,9,9,6,5,6,2,2,1,2,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,6,6,8,9,10,9,8,14,28,34,143,161,30,13,12,12,14,15,20,40,363,297,316,65,20,18,27,25,25,25,18,22,15,19,15,16,15,17,17,20,12,14,12,9,8,7,10,6,7,4,5,4,4,4,5,4,5,5,5,4,3,3,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,11,13,14,16,20,17,15,15,18,20,18,16,25,32,37,102,190,148,49,21,14,10,10,10,9,12,14,13,13,17,21,24,43,223
13,7,24,6,9,8,11,19,156,9,7,12,361,37,6,12,8,9,7,7,9,5,6,5,3,3,4,2,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,5,8,7,8,9,14,14,24,35,140,143,26,12,13,13,12,18,27,47,364,295,330,73,20,23,21,27,21,27,20,24,21,20,18,20,18,17,14,19,11,11,10,12,11,8,10,6,8,6,5,5,5,5,7,6,3,3,5,3,4,5,2,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,12,14,14,12,13,17,18,21,19,15,12,13,23,24,35,99,182,134,40,21,14,10,11,10,11,11,12,13,16,20,23,27,43,214
14,8,28,7,10,12,12,22,158,10,10,13,355,37,8,8,8,9,6,7,9,4,4,5,2,4,2,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,7,7,10,12,14,10,14,26,33,146,153,30,13,16,14,15,18,24,39,359,297,314,70,22,20,20,21,20,24,20,20,18,16,16,16,13,15,13,17,12,11,9,8,8,9,10,7,6,7,5,5,6,5,5,5,4,4,4,4,3,2,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,13,16,19,22,20,18,16,18,15,16,18,24,27,34,107,189,138,43,22,14,11,11,11,14,13,13,16,17,20,21,25,39,223
16,9,23,7,8,8,11,23,157,11,9,13,356,33,7,7,8,10,8,6,8,6,4,4,2,3,3,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,7,8,8,10,10,11,13,28,34,145,150,31,14,15,13,16,16,23,40,363,301,317,78,19,16,20,22,21,26,19,23,21,16,16,17,16,12,13,16,12,11,9,8,8,10,10,7,6,6,5,4,7,5,6,5,4,4,4,3,2,3,2,2
